attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,5.0,4.0,partial_33,2,1,0.5849056603773585,700.0,3537,242424.00000000003,654.4000000000802,0.16475274941145776
1.0,5.0,4.0,partial_33,5,0,0.9685534591194969,6975.0,8722,606060.0,691.3000000000886,0.44316227899296845
1.0,5.0,4.0,partial_33,5,1,1.0,8775.0,5903,422436.53274884017,460.30000000003616,0.5024740062315637
1.0,5.0,4.0,partial_33,10,0,1.0,12875.0,4040,294176.1620967388,157.49999999999534,0.5199321676463968
1.0,5.0,4.0,partial_33,10,1,1.0,9125.0,6452,448362.7570718168,242.7999999999905,0.5417443720211264
1.0,5.0,4.0,partial_33,20,0,1.0,11925.0,3272,241447.6119247363,64.40000000000062,0.5642564662719979
1.0,5.0,4.0,partial_33,20,1,1.0,13625.0,3923,272204.5932637593,72.10000000000018,0.5286718303738485
1.0,5.0,4.0,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,5.0,4.0,closed_33,2,1,0.4100346020761246,50.0,1769,242424.00000000003,721.7000000000955,-4.235659035983774e-06
1.0,5.0,4.0,closed_33,5,0,0.8788927335640139,2550.0,5831,606060.0,718.1000000000947,0.4055487595964492
1.0,5.0,4.0,closed_33,5,1,0.6643598615916955,2075.0,6457,606060.0,722.1000000000956,0.19367547569916346
1.0,5.0,4.0,closed_33,10,0,1.0,8325.0,9982,830562.8111561808,469.2000000000382,0.4446075836649611
1.0,5.0,4.0,closed_33,10,1,1.0,6900.0,3398,298652.71123983944,165.89999999999486,0.5647695911855135
1.0,5.0,4.0,closed_33,20,0,1.0,9600.0,4778,407809.32391431136,113.8999999999978,0.5087682849873518
1.0,5.0,4.0,closed_33,20,1,1.0,10225.0,4036,324890.57060581865,89.09999999999921,0.5059394548347473
1.0,10.0,1.5,open_33,2,0,0.8980228928199792,6400.0,3378,242424.00000000003,628.8000000000744,0.43470861788918436
1.0,10.0,1.5,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,10.0,1.5,open_33,5,0,0.9739854318418314,9850.0,9387,606060.0,643.3000000000777,0.43374550408889634
1.0,10.0,1.5,open_33,5,1,1.0,9525.0,5247,356067.4772201767,369.8000000000156,0.5426386381001318
1.0,10.0,1.5,open_33,10,0,1.0,13225.0,3313,243129.73088110797,125.19999999999716,0.573340908054758
1.0,10.0,1.5,open_33,10,1,1.0,13925.0,3410,250013.48821097868,128.89999999999696,0.5622827694341997
1.0,10.0,1.5,open_33,20,0,1.0,17425.0,3464,243084.75859668013,62.60000000000062,0.5330828796144258
1.0,10.0,1.5,open_33,20,1,1.0,18125.0,4031,280780.21629104484,72.50000000000016,0.5146958229195745
1.0,10.0,1.5,partial_33,2,0,0.9937106918238994,3850.0,3270,242424.00000000003,645.4000000000782,0.5495274240687383
1.0,10.0,1.5,partial_33,2,1,0.6176100628930817,1000.0,3492,242424.00000000003,655.2000000000804,0.19505345306651797
1.0,10.0,1.5,partial_33,5,0,1.0,7625.0,7878,532148.8826735805,578.500000000063,0.48557585175853063
1.0,10.0,1.5,partial_33,5,1,0.9836477987421384,5950.0,7968,606060.0,720.4000000000952,0.47620346211440545
1.0,10.0,1.5,partial_33,10,0,0.9685534591194969,8075.0,18125,1212120.0,688.600000000088,0.4144476786921878
1.0,10.0,1.5,partial_33,10,1,1.0,10450.0,7760,537962.306934458,293.3999999999982,0.5060353455909914
1.0,10.0,1.5,partial_33,20,0,1.0,12675.0,3565,261361.67533230688,69.40000000000033,0.5478082647507055
1.0,10.0,1.5,partial_33,20,1,1.0,15150.0,5146,364839.48404922755,97.79999999999872,0.48972713716229405
1.0,10.0,1.5,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,10.0,1.5,closed_33,2,1,0.46366782006920415,725.0,2646,242424.00000000003,710.400000000093,0.031762412798836376
1.0,10.0,1.5,closed_33,5,0,0.9636678200692042,7425.0,7164,606060.0,695.3000000000895,0.3867134008066099
1.0,10.0,1.5,closed_33,5,1,0.9775086505190311,3600.0,5484,606060.0,718.3000000000948,0.48634488216792127
1.0,10.0,1.5,closed_33,10,0,0.9896193771626297,6275.0,12054,1212120.0,721.6000000000955,0.42848911880204466
1.0,10.0,1.5,closed_33,10,1,1.0,10400.0,11606,1181219.9747909615,679.900000000086,0.35755263660738545
1.0,10.0,1.5,closed_33,20,0,1.0,11125.0,4526,395787.1556710433,109.49999999999805,0.4794221544927458
1.0,10.0,1.5,closed_33,20,1,1.0,11625.0,3642,286356.97605110845,77.89999999999985,0.482678446206008
1.0,10.0,2.5,open_33,2,0,0.9302809573361083,5850.0,3396,242424.00000000003,624.4000000000734,0.4753050880210089
1.0,10.0,2.5,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,10.0,2.5,open_33,5,0,1.0,12875.0,7173,475569.46860406606,497.20000000004455,0.4613296148350282
1.0,10.0,2.5,open_33,5,1,1.0,14175.0,4270,295648.8899921309,304.3000000000007,0.5076475673224796
