pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,1.0,10.0,open_33,5,0,0.2778355879292404,3025.0,9636,606060.0,681.8000000000865,-0.19629355143784755
1.6,1.0,10.0,open_33,5,1,0.12278876170655567,0.0,9280,606060.0,681.8000000000865,-0.3178889238530196
1.6,1.0,10.0,open_33,10,0,0.5109261186264308,6375.0,19552,1212120.0,681.8000000000865,-0.005773705160336068
1.6,1.0,10.0,open_33,10,1,0.5639958376690947,7425.0,19277,1212120.0,681.8000000000865,0.035039720757396
1.6,1.0,10.0,open_33,20,0,0.9875130072840791,22875.0,40759,2424240.0,669.8000000000837,0.26425463304259267
1.6,1.0,10.0,open_33,20,1,0.9937565036420395,22950.0,40643,2424240.0,670.1000000000838,0.2696229267205924
1.6,1.0,10.0,partial_33,2,0,0.1421383647798742,0.0,4011,242424.00000000003,670.700000000084,-0.2940859050767914
1.6,1.0,10.0,partial_33,2,1,0.13584905660377358,0.0,2621,242424.00000000003,724.8000000000962,-0.2967229070784869
1.6,1.0,10.0,partial_33,5,0,0.4289308176100629,3375.0,9639,606060.0,672.5000000000844,-0.05620652205879259
1.6,1.0,10.0,partial_33,5,1,0.35471698113207545,2125.0,9660,606060.0,673.5000000000846,-0.11329358075580506
1.6,1.0,10.0,partial_33,10,0,0.7433962264150943,5775.0,18733,1212120.0,676.7000000000853,0.22095708967287167
1.6,1.0,10.0,partial_33,10,1,0.5660377358490566,3550.0,18928,1212120.0,692.700000000089,0.07497504897057397
1.6,1.0,10.0,partial_33,20,0,0.8867924528301887,12500.0,37114,2424240.0,701.2000000000909,0.25926119018963945
1.6,1.0,10.0,partial_33,20,1,0.7811320754716982,9600.0,37270,2424240.0,691.6000000000887,0.19669870549458127
1.6,1.0,10.0,closed_33,2,0,0.19377162629757785,0.0,2712,242424.00000000003,709.9000000000929,-0.23877480114969946
