block_size,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
3,1.0,10.0,closed_33,5,1,0.9463667820069204,2375.0,7090,606060.0,708.9000000000926,0.4741018741746622
3,1.0,10.0,closed_33,10,0,0.9757785467128027,5900.0,13615,1212120.0,711.4000000000932,0.42077589334737253
3,1.0,10.0,closed_33,10,1,1.0,7850.0,6017,497233.7578106604,277.5999999999946,0.5040631186709985
3,1.0,10.0,closed_33,20,0,1.0,9800.0,5003,441546.76775347255,122.99999999999729,0.5013006386038489
3,1.0,10.0,closed_33,20,1,1.0,11100.0,3350,282564.1530757309,77.69999999999986,0.4968586449048113
3,2.0,2.0,open_33,2,0,0.08636836628511967,50.0,4949,242424.00000000003,632.7000000000753,-0.353752097111496
3,2.0,2.0,open_33,2,1,0.05723204994797086,0.0,4797,242424.00000000003,629.4000000000746,-0.38381173497462695
3,2.0,2.0,open_33,5,0,0.43496357960457854,2250.0,11795,606060.0,626.800000000074,-0.02730885096849686
3,2.0,2.0,open_33,5,1,0.1914672216441207,0.0,12154,606060.0,629.4000000000746,-0.24850323998301138
3,2.0,2.0,open_33,10,0,0.5671175858480749,3250.0,24132,1212120.0,628.3000000000743,0.08871601786490871
3,2.0,2.0,open_33,10,1,0.3870967741935484,675.0,24547,1212120.0,629.6000000000746,-0.06129787996053218
3,2.0,2.0,open_33,20,0,1.0,13700.0,4864,285784.36196394544,72.40000000000016,0.5613937600952895
3,2.0,2.0,open_33,20,1,1.0,15750.0,3325,213035.6897573527,53.60000000000049,0.5579019911484386
3,2.0,2.0,partial_33,2,0,0.14968553459119496,0.0,3573,242424.00000000003,684.200000000087,-0.28508935405693314
3,2.0,2.0,partial_33,2,1,0.34591194968553457,0.0,3927,242424.00000000003,662.9000000000822,-0.0788989869055067
3,2.0,2.0,partial_33,5,0,1.0,6200.0,4319,319279.89406080014,343.70000000000965,0.5769566604402908
3,2.0,2.0,partial_33,5,1,0.6817610062893081,2950.0,8814,606060.0,682.0000000000865,0.2101674818477677
3,2.0,2.0,partial_33,10,0,0.9069182389937107,8775.0,16350,1212120.0,715.6000000000942,0.34269157533826844
3,2.0,2.0,partial_33,10,1,1.0,12475.0,15764,1089151.1415991709,604.4000000000689,0.3963105160383954
3,2.0,2.0,partial_33,20,0,1.0,10700.0,1918,159833.26254218724,41.50000000000032,0.6168772206157831
3,2.0,2.0,partial_33,20,1,1.0,12050.0,3338,239024.3186234762,62.300000000000615,0.5615775942883804
3,2.0,2.0,closed_33,2,0,0.25259515570934254,0.0,2823,242424.00000000003,726.5000000000966,-0.17709684683547242
3,2.0,2.0,closed_33,2,1,0.19896193771626297,0.0,1041,242424.00000000003,729.7000000000974,-0.21563821607074204
3,2.0,2.0,closed_33,5,0,0.6349480968858131,300.0,4655,606060.0,725.2000000000963,0.20619881517861197
3,2.0,2.0,closed_33,5,1,0.39273356401384085,925.0,6778,606060.0,718.3000000000948,-0.06119340527074499
3,2.0,2.0,closed_33,10,0,1.0,6000.0,1863,177270.7580695632,95.69999999999884,0.6253441999571695
3,2.0,2.0,closed_33,10,1,0.9377162629757786,4700.0,11273,1212120.0,731.1000000000977,0.4094561305972523
3,2.0,2.0,closed_33,20,0,1.0,9650.0,2794,272833.002344863,74.80000000000003,0.5348211508038743
3,2.0,2.0,closed_33,20,1,1.0,10025.0,2355,221450.25916944444,60.00000000000058,0.5377941088928712
3,2.0,5.0,open_33,2,0,0.1675338189386056,150.0,4683,242424.00000000003,635.4000000000759,-0.268812576147331
3,2.0,5.0,open_33,2,1,0.05723204994797086,0.0,4797,242424.00000000003,629.4000000000746,-0.38381173497462695
3,2.0,5.0,open_33,5,0,0.36524453694068676,1200.0,11738,606060.0,624.5000000000734,-0.08547390088049042
3,2.0,5.0,open_33,5,1,0.1914672216441207,0.0,12154,606060.0,629.4000000000746,-0.24850323998301138
3,2.0,5.0,open_33,10,0,1.0,9950.0,8567,470928.22577962046,240.9999999999906,0.549893605850164
3,2.0,5.0,open_33,10,1,0.46826222684703434,1500.0,23805,1212120.0,629.6000000000746,0.010653156037428363
3,2.0,5.0,open_33,20,0,1.0,12500.0,3707,234196.34427450178,59.400000000000574,0.5917193037002916
3,2.0,5.0,open_33,20,1,1.0,16475.0,4307,261590.60712584108,66.30000000000051,0.533416990558137
3,2.0,5.0,partial_33,2,0,0.14968553459119496,0.0,3573,242424.00000000003,684.200000000087,-0.28508935405693314
3,2.0,5.0,partial_33,2,1,0.34591194968553457,0.0,3927,242424.00000000003,662.9000000000822,-0.0788989869055067
3,2.0,5.0,partial_33,5,0,0.8654088050314466,4550.0,8124,606060.0,693.9000000000892,0.3757077208418861
3,2.0,5.0,partial_33,5,1,0.7031446540880503,3175.0,9353,606060.0,685.8000000000874,0.22769456754026626
3,2.0,5.0,partial_33,10,0,0.7383647798742138,3100.0,16712,1212120.0,703.9000000000915,0.2573076617775679
3,2.0,5.0,partial_33,10,1,0.5987421383647799,3625.0,16602,1212120.0,727.0000000000967,0.10794234764011615
3,2.0,5.0,partial_33,20,0,1.0,10775.0,2897,216949.7701350227,57.20000000000054,0.5890310204299943
3,2.0,5.0,partial_33,20,1,1.0,13775.0,4010,293463.29917870415,77.69999999999986,0.5242257286822953
3,2.0,5.0,closed_33,2,0,0.25259515570934254,0.0,2823,242424.00000000003,726.5000000000966,-0.17709684683547242
3,2.0,5.0,closed_33,2,1,0.19896193771626297,0.0,1041,242424.00000000003,729.7000000000974,-0.21563821607074204
3,2.0,5.0,closed_33,5,0,0.71280276816609,775.0,4835,606060.0,733.6000000000982,0.2758246762196622
3,2.0,5.0,closed_33,5,1,0.7179930795847751,1675.0,6460,606060.0,714.4000000000939,0.2568826395442312
3,2.0,5.0,closed_33,10,0,1.0,4375.0,1824,190530.8209341776,104.29999999999835,0.6586544464385766
3,2.0,5.0,closed_33,10,1,0.7975778546712803,5675.0,9407,1212120.0,725.1000000000963,0.24932833899593046
3,2.0,5.0,closed_33,20,0,1.0,8625.0,2140,223869.2411689721,61.600000000000605,0.5713922765890969
3,2.0,5.0,closed_33,20,1,1.0,8475.0,2078,193101.15319300676,52.10000000000047,0.5778289656015158
