lane_spacing,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.5,10.0,partial_33,5,0,0.6880503144654088,3175.0,8972,606060.0,693.8000000000892,0.21292054751800601
1.0,2.5,10.0,partial_33,5,1,0.5522012578616352,3050.0,7640,606060.0,699.4000000000905,0.07802060003378589
1.0,2.5,10.0,partial_33,10,0,0.989937106918239,12175.0,18178,1212120.0,698.6000000000903,0.37416832618400553
1.0,2.5,10.0,partial_33,10,1,1.0,11525.0,13410,962414.5262513817,531.0000000000522,0.42813975284064737
1.0,2.5,10.0,partial_33,20,0,1.0,16675.0,7408,492796.7065765904,131.19999999999683,0.44801411575420286
1.0,2.5,10.0,partial_33,20,1,1.0,17625.0,7620,505146.5012560822,133.6999999999967,0.43220616767539743
1.0,2.5,10.0,closed_33,2,0,0.25951557093425603,0.0,1826,242424.00000000003,726.4000000000966,-0.16215559415796169
1.0,2.5,10.0,closed_33,2,1,0.03806228373702422,0.0,1409,242424.00000000003,734.9000000000985,-0.4017700013782798
1.0,2.5,10.0,closed_33,5,0,0.13494809688581316,300.0,2640,606060.0,733.5000000000982,-0.30711544973787464
1.0,2.5,10.0,closed_33,5,1,0.34429065743944637,675.0,6133,606060.0,734.0000000000983,-0.10473932714056475
1.0,2.5,10.0,closed_33,10,0,0.7941176470588235,2925.0,8030,1212120.0,733.6000000000982,0.3051675508875973
1.0,2.5,10.0,closed_33,10,1,0.5294117647058824,2525.0,8384,1212120.0,733.2000000000982,0.04310904144595176
1.0,2.5,10.0,closed_33,20,0,0.7145328719723183,6275.0,16200,2424240.0,733.7000000000983,0.14726962572655813
1.0,2.5,10.0,closed_33,20,1,0.7214532871972318,6225.0,13432,2424240.0,733.7000000000983,0.15680323161476165
1.0,5.0,2.0,open_33,2,0,0.32049947970863685,675.0,5484,242424.00000000003,615.9000000000715,-0.1164206461450211
1.0,5.0,2.0,open_33,2,1,0.29656607700312176,875.0,4940,242424.00000000003,616.6000000000716,-0.1424408497041171
1.0,5.0,2.0,open_33,5,0,0.3600416233090531,2500.0,13479,606060.0,625.3000000000736,-0.10811216549300559
1.0,5.0,2.0,open_33,5,1,0.30697190426638915,1325.0,13765,606060.0,626.4000000000739,-0.14772335317956656
1.0,5.0,2.0,open_33,10,0,1.0,15500.0,20979,970725.7597115637,490.8000000000431,0.40391372705501427
1.0,5.0,2.0,open_33,10,1,0.8272632674297606,9600.0,26790,1212120.0,628.0000000000742,0.2715896961751182
1.0,5.0,2.0,open_33,20,0,1.0,19975.0,4927,285604.52977424813,71.10000000000024,0.4825190281483612
1.0,5.0,2.0,open_33,20,1,1.0,19750.0,5258,301306.63721924974,75.2,0.48178695746609235
1.0,5.0,2.0,partial_33,2,0,0.21635220125786164,825.0,2637,242424.00000000003,714.0000000000938,-0.2221755468533681
1.0,5.0,2.0,partial_33,2,1,0.18742138364779873,0.0,1187,242424.00000000003,731.8000000000978,-0.22356497696431038
1.0,5.0,2.0,partial_33,5,0,0.26540880503144654,2050.0,7250,606060.0,728.200000000097,-0.20149491822887822
1.0,5.0,2.0,partial_33,5,1,0.2641509433962264,1575.0,7278,606060.0,731.8000000000978,-0.19565362441541684
1.0,5.0,2.0,partial_33,10,0,0.8264150943396227,6575.0,15929,1212120.0,734.1000000000984,0.2946088830948078
1.0,5.0,2.0,partial_33,10,1,0.8779874213836478,8600.0,13869,1212120.0,733.3000000000982,0.3181066132792897
1.0,5.0,2.0,partial_33,20,0,1.0,18225.0,5677,421386.98702275427,111.69999999999793,0.436649044639438
1.0,5.0,2.0,partial_33,20,1,1.0,15225.0,6127,446946.2216844661,118.39999999999755,0.47801346662863475
1.0,5.0,2.0,closed_33,2,0,0.04498269896193772,0.0,267,242424.00000000003,734.1000000000984,-0.3728405850729504
1.0,5.0,2.0,closed_33,2,1,0.0328719723183391,0.0,841,242424.00000000003,734.9000000000985,-0.40494456514936117
1.0,5.0,2.0,closed_33,5,0,0.10034602076124567,175.0,1529,606060.0,734.2000000000984,-0.336767558500475
1.0,5.0,2.0,closed_33,5,1,0.33217993079584773,525.0,4068,606060.0,734.9000000000985,-0.10964304086727208
1.0,5.0,2.0,closed_33,10,0,0.39965397923875434,850.0,5733,1212120.0,734.4000000000984,-0.05081780571936037
