attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.0,2.5,open_33,2,0,0.8439125910509886,2000.0,3348,242424.00000000003,631.200000000075,0.4329938005110813
1.0,2.0,2.5,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,2.0,2.5,open_33,5,0,1.0,15150.0,5901,392031.43194382486,408.0000000000243,0.45940179906328776
1.0,2.0,2.5,open_33,5,1,0.6971904266389178,2225.0,9632,606060.0,648.1000000000788,0.2444731980084218
1.0,2.0,2.5,open_33,10,0,1.0,14350.0,3693,264056.295734453,137.1999999999965,0.5512916269901443
1.0,2.0,2.5,open_33,10,1,1.0,15950.0,6241,424543.4092357124,223.4999999999916,0.49027153972592374
1.0,2.0,2.5,open_33,20,0,1.0,16325.0,3237,239671.65155487275,62.70000000000062,0.5505449535173728
1.0,2.0,2.5,open_33,20,1,1.0,18475.0,4843,323535.3582075429,83.49999999999953,0.4996981147617522
1.0,2.0,2.5,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,2.0,2.5,partial_33,2,1,0.4578616352201258,475.0,3579,242424.00000000003,666.600000000083,0.033942028199537316
1.0,2.0,2.5,partial_33,5,0,0.7031446540880503,3300.0,9060,606060.0,682.9000000000867,0.22632313361287268
1.0,2.0,2.5,partial_33,5,1,0.9937106918238994,7400.0,9113,606060.0,668.5000000000834,0.4615002759471273
1.0,2.0,2.5,partial_33,10,0,1.0,10900.0,4559,317535.9416139433,169.29999999999467,0.5421780942962644
1.0,2.0,2.5,partial_33,10,1,1.0,12475.0,4732,331976.2019531019,176.59999999999425,0.5152893765009008
1.0,2.0,2.5,partial_33,20,0,1.0,12825.0,4054,284704.4754020511,75.99999999999996,0.5386368347679427
1.0,2.0,2.5,partial_33,20,1,1.0,16725.0,4444,310238.2538851453,82.49999999999959,0.4745860769855184
1.0,2.0,2.5,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,2.0,2.5,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,2.0,2.5,closed_33,5,0,0.7837370242214533,800.0,6814,606060.0,720.5000000000953,0.34138456025661923
1.0,2.0,2.5,closed_33,5,1,0.745674740484429,2725.0,6735,606060.0,716.4000000000943,0.262699440510171
1.0,2.0,2.5,closed_33,10,0,0.9930795847750865,9100.0,12816,1212120.0,723.0000000000958,0.3725681482304588
