policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
MARL,partial_33,5,2,0.9874213836477987,57.90000000000055,116.59999999999765,inf,606060.0,16000.0,5829,678.8000000000858,ALL_DEPLETED
Random,partial_33,10,0,1.0,34.00000000000021,93.89999999999894,473.90000000003926,852227.222867355,19300.0,8333,473.90000000003926,COMPLETED
Random,partial_33,10,1,0.9987421383647799,35.00000000000023,126.49999999999709,inf,1212120.0,19825.0,12242,678.6000000000857,ALL_DEPLETED
Random,partial_33,10,2,1.0,45.400000000000375,144.79999999999606,342.00000000000927,614041.303891096,19125.0,5824,342.00000000000927,COMPLETED
PF,partial_33,10,0,1.0,23.000000000000057,47.600000000000406,86.39999999999937,167263.42651006998,10750.0,2056,86.39999999999937,COMPLETED
PF,partial_33,10,1,0.939622641509434,19.900000000000013,52.80000000000048,inf,1212120.0,9425.0,17232,682.6000000000867,ALL_DEPLETED
PF,partial_33,10,2,1.0,20.800000000000026,63.700000000000635,136.39999999999654,257526.28504440328,10975.0,3397,136.39999999999654,COMPLETED
Consensus,partial_33,10,0,1.0,21.500000000000036,48.80000000000042,117.59999999999759,223055.47856549802,10075.0,2833,117.59999999999759,COMPLETED
Consensus,partial_33,10,1,1.0,17.999999999999986,38.20000000000027,93.49999999999896,181616.65769844572,11300.0,2371,93.49999999999896,COMPLETED
Consensus,partial_33,10,2,1.0,22.100000000000044,50.300000000000445,122.09999999999734,233158.88566548075,9825.0,3172,122.09999999999734,COMPLETED
MARL,partial_33,10,0,0.9761006289308176,37.40000000000026,110.79999999999798,inf,1212120.0,16700.0,11296,702.5000000000912,ALL_DEPLETED
MARL,partial_33,10,1,0.9849056603773585,33.2000000000002,84.89999999999945,inf,1212120.0,16925.0,11370,696.5000000000898,ALL_DEPLETED
MARL,partial_33,10,2,0.9861635220125786,32.9000000000002,122.19999999999733,inf,1212120.0,16075.0,11453,708.7000000000926,ALL_DEPLETED
Random,partial_33,20,0,1.0,23.500000000000064,73.20000000000012,422.2000000000275,1515113.2261956835,19750.0,15279,422.2000000000275,COMPLETED
Random,partial_33,20,1,1.0,19.300000000000004,56.50000000000053,238.19999999999075,855831.6286419225,19325.0,8410,238.19999999999075,COMPLETED
Random,partial_33,20,2,1.0,19.60000000000001,44.40000000000036,229.59999999999124,825229.878220045,19625.0,8162,229.59999999999124,COMPLETED
PF,partial_33,20,0,1.0,7.799999999999988,21.300000000000033,52.30000000000047,201586.29222220602,14125.0,2752,52.30000000000047,COMPLETED
PF,partial_33,20,1,1.0,9.699999999999982,23.600000000000065,54.80000000000051,212572.01018029219,13425.0,2910,54.80000000000051,COMPLETED
PF,partial_33,20,2,1.0,7.999999999999988,19.200000000000003,50.10000000000044,193489.67463184707,11450.0,2560,50.10000000000044,COMPLETED
Consensus,partial_33,20,0,1.0,7.699999999999989,21.300000000000033,53.30000000000049,205564.92731534317,13775.0,2714,53.30000000000049,COMPLETED
Consensus,partial_33,20,1,1.0,9.89999999999998,23.30000000000006,62.900000000000624,241277.32877517818,14975.0,3357,62.900000000000624,COMPLETED
Consensus,partial_33,20,2,1.0,7.999999999999988,22.40000000000005,48.70000000000042,188370.37113527348,14325.0,2501,48.70000000000042,COMPLETED
MARL,partial_33,20,0,1.0,17.799999999999983,43.40000000000035,263.4999999999914,952269.9747701739,19525.0,10434,263.4999999999914,COMPLETED
MARL,partial_33,20,1,1.0,18.099999999999987,43.00000000000034,227.19999999999138,823830.6312955786,19775.0,8960,227.19999999999138,COMPLETED
MARL,partial_33,20,2,1.0,19.900000000000013,49.90000000000044,245.69999999999033,887156.4073744561,19675.0,9568,245.69999999999033,COMPLETED
Random,closed_33,2,0,0.8183391003460208,249.4999999999901,596.100000000067,inf,242424.00000000003,5025.0,1713,688.600000000088,ALL_DEPLETED
Random,closed_33,2,1,0.7802768166089965,256.09999999998973,inf,inf,242424.00000000003,2250.0,1660,690.9000000000885,ALL_DEPLETED
Random,closed_33,2,2,0.6124567474048442,313.0000000000027,inf,inf,242424.00000000003,5675.0,1761,691.8000000000887,ALL_DEPLETED
PF,closed_33,2,0,0.3356401384083045,inf,inf,inf,242424.00000000003,0.0,1966,699.9000000000906,ALL_DEPLETED
PF,closed_33,2,1,0.6557093425605537,87.4999999999993,inf,inf,242424.00000000003,125.0,2438,686.0000000000874,ALL_DEPLETED
PF,closed_33,2,2,0.4342560553633218,inf,inf,inf,242424.00000000003,0.0,1962,704.7000000000917,ALL_DEPLETED
Consensus,closed_33,2,0,0.3356401384083045,inf,inf,inf,242424.00000000003,0.0,1966,699.9000000000906,ALL_DEPLETED
Consensus,closed_33,2,1,0.6557093425605537,87.4999999999993,inf,inf,242424.00000000003,125.0,2438,686.0000000000874,ALL_DEPLETED
