trial,seed,attract_gain,drone_repel_gain,drone_repel_range,wall_repel_gain,wall_repel_range,yaw_align_gain,velocity_align_threshold,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
30,0,2.86877101187868,7.182841006040377,1.2389455628022708,4.118560367820182,2.2885178240395043,9.389840039155418,0.034900972795889516,0.9157232704402516,8875.0,9144,606060.0,680.4000000000862,0.359439738506128
30,1,2.86877101187868,7.182841006040377,1.2389455628022708,4.118560367820182,2.2885178240395043,9.389840039155418,0.034900972795889516,0.909433962264151,9225.0,9260,606060.0,674.4000000000848,0.347471170591683
30,2,2.86877101187868,7.182841006040377,1.2389455628022708,4.118560367820182,2.2885178240395043,9.389840039155418,0.034900972795889516,0.8641509433962264,2025.0,9500,606060.0,672.7000000000844,0.40937212902785003
31,0,0.7578890735062751,11.166969336574837,2.168617510977221,1.8542691130142288,1.7214601133788334,8.628642127635825,0.19156841883892428,0.9949685534591195,9650.0,9319,606060.0,671.8000000000842,0.42833554174520516
31,1,0.7578890735062751,11.166969336574837,2.168617510977221,1.8542691130142288,1.7214601133788334,8.628642127635825,0.19156841883892428,1.0,10025.0,6748,444091.40882766066,480.8000000000408,0.4744560730129715
31,2,0.7578890735062751,11.166969336574837,2.168617510977221,1.8542691130142288,1.7214601133788334,8.628642127635825,0.19156841883892428,1.0,11725.0,4175,286329.43257324945,302.6000000000003,0.5027648791513798
32,0,1.3598510394636036,11.135296937088311,0.41683960951540466,2.998391190470711,2.0849377792027126,3.058974037507533,0.0366645234421434,0.9723270440251572,10425.0,9483,606060.0,669.9000000000838,0.3931352634608529
32,1,1.3598510394636036,11.135296937088311,0.41683960951540466,2.998391190470711,2.0849377792027126,3.058974037507533,0.0366645234421434,0.939622641509434,1600.0,8775,606060.0,679.2000000000859,0.49456222531337557
32,2,1.3598510394636036,11.135296937088311,0.41683960951540466,2.998391190470711,2.0849377792027126,3.058974037507533,0.0366645234421434,0.969811320754717,7700.0,9036,606060.0,676.8000000000853,0.4327256554649387
33,0,1.8507229814703243,11.61166698964659,3.1014000002015525,4.69860449720095,2.510902289032427,6.673816015552915,0.1591050553579156,0.9220125786163522,5250.0,10207,606060.0,681.6000000000864,0.41842339959910924
33,1,1.8507229814703243,11.61166698964659,3.1014000002015525,4.69860449720095,2.510902289032427,6.673816015552915,0.1591050553579156,0.7283018867924528,1550.0,10404,606060.0,675.200000000085,0.27627656692990943
33,2,1.8507229814703243,11.61166698964659,3.1014000002015525,4.69860449720095,2.510902289032427,6.673816015552915,0.1591050553579156,0.8528301886792453,2950.0,10420,606060.0,681.5000000000864,0.3821850689473957
