policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,5,2,0.9947970863683663,65.20000000000057,129.19999999999695,inf,606060.0,23200.0,8706,664.8000000000826,ALL_DEPLETED
Boustrophedon,open_33,5,0,1.0,46.40000000000039,84.39999999999948,150.79999999999572,143124.63772253855,11925.0,1386,150.79999999999572,COMPLETED
Boustrophedon,open_33,5,1,1.0,40.90000000000031,75.69999999999997,139.39999999999637,131236.93946851068,11025.0,1216,139.39999999999637,COMPLETED
Boustrophedon,open_33,5,2,1.0,43.900000000000354,86.39999999999937,154.09999999999553,146525.27321443066,12825.0,1448,154.09999999999553,COMPLETED
Spiral,open_33,5,0,1.0,41.40000000000032,87.79999999999929,179.2999999999941,182307.8071076381,17075.0,2490,179.2999999999941,COMPLETED
Spiral,open_33,5,1,1.0,42.00000000000033,93.19999999999898,145.999999999996,149013.51447874727,13725.0,1887,145.999999999996,COMPLETED
Spiral,open_33,5,2,1.0,34.00000000000021,83.39999999999954,146.29999999999598,149481.1299294565,15300.0,1896,146.29999999999598,COMPLETED
VoronoiPartition,open_33,5,0,1.0,46.30000000000039,79.89999999999974,125.29999999999715,114573.80157786026,6200.0,905,125.29999999999715,COMPLETED
VoronoiPartition,open_33,5,1,1.0,41.50000000000032,80.4999999999997,119.2999999999975,109458.3517425668,5400.0,834,119.2999999999975,COMPLETED
VoronoiPartition,open_33,5,2,1.0,42.10000000000033,76.39999999999993,127.89999999999701,117242.14353559283,5250.0,962,127.89999999999701,COMPLETED
GridDecomposition,open_33,5,0,1.0,55.00000000000051,92.899999999999,137.79999999999646,138479.81906055857,8350.0,2136,137.79999999999646,COMPLETED
GridDecomposition,open_33,5,1,1.0,57.20000000000054,96.09999999999881,135.4999999999966,136466.67132865824,10050.0,2000,135.4999999999966,COMPLETED
GridDecomposition,open_33,5,2,1.0,49.50000000000043,99.19999999999864,149.1999999999958,150286.89162556594,10350.0,2269,149.1999999999958,COMPLETED
STC,open_33,5,0,1.0,53.900000000000496,94.09999999999893,119.2999999999975,118971.17358234711,6275.0,1392,119.2999999999975,COMPLETED
STC,open_33,5,1,1.0,57.20000000000054,89.89999999999917,118.69999999999753,119004.5192560826,6200.0,1405,118.69999999999753,COMPLETED
STC,open_33,5,2,1.0,50.20000000000044,90.69999999999912,125.69999999999713,126667.40304021072,4625.0,1502,125.69999999999713,COMPLETED
Random,open_33,10,0,1.0,30.600000000000165,74.10000000000007,480.90000000004085,884624.905445414,23975.0,13630,480.90000000004085,COMPLETED
Random,open_33,10,1,1.0,30.700000000000166,66.5000000000005,317.0000000000036,583225.4969005547,23425.0,9060,317.0000000000036,COMPLETED
Random,open_33,10,2,1.0,29.60000000000015,70.50000000000027,285.4999999999964,525061.4034215894,23500.0,7905,285.4999999999964,COMPLETED
Boustrophedon,open_33,10,0,1.0,24.400000000000077,39.9000000000003,94.09999999999893,179821.82460490917,16500.0,1961,94.09999999999893,COMPLETED
Boustrophedon,open_33,10,1,1.0,23.700000000000067,39.100000000000286,74.80000000000003,142717.4330808972,12925.0,1380,74.80000000000003,COMPLETED
Boustrophedon,open_33,10,2,1.0,27.100000000000115,42.90000000000034,86.89999999999934,164971.3688797804,16200.0,1752,86.89999999999934,COMPLETED
Spiral,open_33,10,0,1.0,20.100000000000016,42.10000000000033,76.49999999999993,153928.53223364754,15800.0,2041,76.49999999999993,COMPLETED
Spiral,open_33,10,1,1.0,15.499999999999961,34.60000000000022,78.6999999999998,160034.17360747,16775.0,2100,78.6999999999998,COMPLETED
Spiral,open_33,10,2,1.0,15.99999999999996,37.20000000000026,74.60000000000004,151235.96055719024,16750.0,2021,74.60000000000004,COMPLETED
VoronoiPartition,open_33,10,0,1.0,21.10000000000003,39.000000000000284,58.90000000000057,107220.17349992739,6550.0,804,58.90000000000057,COMPLETED
VoronoiPartition,open_33,10,1,1.0,20.50000000000002,37.20000000000026,63.10000000000063,115152.45061903098,6325.0,894,63.10000000000063,COMPLETED
VoronoiPartition,open_33,10,2,1.0,19.400000000000006,35.600000000000236,59.500000000000576,108868.4693315092,6375.0,838,59.500000000000576,COMPLETED
GridDecomposition,open_33,10,0,1.0,22.50000000000005,43.50000000000035,69.80000000000031,140680.3566790726,12250.0,2094,69.80000000000031,COMPLETED
GridDecomposition,open_33,10,1,1.0,22.800000000000054,40.90000000000031,70.70000000000026,142489.44930933812,11075.0,2157,70.70000000000026,COMPLETED
GridDecomposition,open_33,10,2,1.0,22.200000000000045,40.500000000000306,65.20000000000057,131209.16929758596,11225.0,1846,65.20000000000057,COMPLETED
STC,open_33,10,0,1.0,25.100000000000087,41.800000000000324,56.80000000000054,112796.0641768009,7675.0,1318,56.80000000000054,COMPLETED
STC,open_33,10,1,1.0,17.69999999999998,41.100000000000314,59.400000000000574,118985.44891507225,6675.0,1409,59.400000000000574,COMPLETED
STC,open_33,10,2,1.0,16.09999999999996,42.00000000000033,61.70000000000061,123466.81764746993,8625.0,1487,61.70000000000061,COMPLETED
