policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
SA,open_33,5,2,1.0,36.300000000000246,60.100000000000584,114.29999999999778,115039.2223116624,9700.0,1459,114.29999999999778,COMPLETED
GWO,open_33,5,2,1.0,123.39999999999726,202.3999999999928,353.2000000000118,348126.93964844284,22775.0,5217,353.2000000000118,COMPLETED
MARL,open_33,5,2,0.9895941727367326,41.900000000000325,102.09999999999847,inf,606060.0,21075.0,7941,677.1000000000854,ALL_DEPLETED
Random,open_33,10,0,1.0,30.600000000000165,74.10000000000007,480.90000000004085,884624.905445414,23975.0,13630,480.90000000004085,COMPLETED
PF,open_33,10,0,1.0,17.299999999999976,38.70000000000028,60.60000000000059,121177.54865891277,12050.0,1535,60.60000000000059,COMPLETED
Consensus,open_33,10,0,1.0,17.099999999999973,31.900000000000183,54.0000000000005,104907.51224953379,9150.0,1035,54.0000000000005,COMPLETED
PSO,open_33,10,0,1.0,19.1,36.50000000000025,69.9000000000003,136220.41742484388,9475.0,1483,69.9000000000003,COMPLETED
GA,open_33,10,0,1.0,17.69999999999998,39.9000000000003,76.9999999999999,152511.14013816835,16275.0,1780,76.9999999999999,COMPLETED
ACO,open_33,10,0,1.0,16.19999999999996,34.50000000000022,57.20000000000054,114805.02022152673,12700.0,1499,57.20000000000054,COMPLETED
SA,open_33,10,0,1.0,18.099999999999987,35.70000000000024,59.70000000000058,120232.58129426837,12750.0,1483,59.70000000000058,COMPLETED
GWO,open_33,10,0,1.0,80.39999999999971,157.29999999999535,294.49999999999847,588663.8710417615,23100.0,9649,294.49999999999847,COMPLETED
MARL,open_33,10,0,0.9937565036420395,25.30000000000009,99.39999999999863,inf,1212120.0,22700.0,15688,706.6000000000921,ALL_DEPLETED
Random,open_33,10,1,1.0,30.700000000000166,66.5000000000005,317.0000000000036,583225.4969005547,23425.0,9060,317.0000000000036,COMPLETED
PF,open_33,10,1,1.0,18.39999999999999,34.900000000000226,62.50000000000062,125378.5106501095,11750.0,1630,62.50000000000062,COMPLETED
Consensus,open_33,10,1,1.0,14.099999999999966,27.000000000000114,52.70000000000048,104463.5077143258,11825.0,1127,52.70000000000048,COMPLETED
PSO,open_33,10,1,1.0,17.59999999999998,34.900000000000226,76.69999999999992,151526.36599045643,12125.0,1874,76.69999999999992,COMPLETED
GA,open_33,10,1,1.0,16.699999999999967,31.400000000000176,54.0000000000005,106477.99173337151,10225.0,1096,54.0000000000005,COMPLETED
ACO,open_33,10,1,1.0,15.69999999999996,31.70000000000018,58.700000000000564,118137.18622423382,13350.0,1526,58.700000000000564,COMPLETED
SA,open_33,10,1,1.0,15.89999999999996,30.500000000000163,50.70000000000045,102011.79425107618,11150.0,1151,50.70000000000045,COMPLETED
GWO,open_33,10,1,1.0,72.60000000000015,161.4999999999951,275.59999999999417,547010.702797595,23175.0,8964,275.59999999999417,COMPLETED
MARL,open_33,10,1,0.9947970863683663,23.600000000000065,60.100000000000584,inf,1212120.0,22200.0,15808,695.9000000000897,ALL_DEPLETED
Random,open_33,10,2,1.0,29.60000000000015,70.50000000000027,285.4999999999964,525061.4034215894,23500.0,7905,285.4999999999964,COMPLETED
PF,open_33,10,2,1.0,19.1,37.90000000000027,63.50000000000063,126939.70875054062,14025.0,1586,63.50000000000063,COMPLETED
Consensus,open_33,10,2,1.0,16.19999999999996,33.2000000000002,47.70000000000041,93827.29318356351,8400.0,931,47.70000000000041,COMPLETED
PSO,open_33,10,2,1.0,21.500000000000036,49.000000000000426,67.90000000000042,132950.58437531162,12575.0,1661,67.90000000000042,COMPLETED
GA,open_33,10,2,1.0,17.999999999999986,31.400000000000176,54.500000000000504,108947.09643126093,11050.0,1151,54.500000000000504,COMPLETED
ACO,open_33,10,2,1.0,17.999999999999986,35.30000000000023,62.10000000000061,124520.97729543434,13150.0,1715,62.10000000000061,COMPLETED
SA,open_33,10,2,1.0,18.9,32.30000000000019,54.0000000000005,108314.2175034734,11625.0,1259,54.0000000000005,COMPLETED
GWO,open_33,10,2,1.0,69.70000000000032,153.99999999999554,279.299999999995,554272.4549020347,22225.0,8936,279.299999999995,COMPLETED
MARL,open_33,10,2,0.9979188345473465,19.1,48.70000000000042,inf,1212120.0,22275.0,15306,703.0000000000913,ALL_DEPLETED
Random,open_33,20,0,1.0,16.09999999999996,34.70000000000022,150.79999999999572,555030.0233321814,23750.0,8019,150.79999999999572,COMPLETED
PF,open_33,20,0,1.0,6.8999999999999915,17.099999999999973,34.800000000000225,139045.0537228575,16175.0,1835,34.800000000000225,COMPLETED
Consensus,open_33,20,0,1.0,6.699999999999992,14.199999999999966,27.600000000000122,107882.70368849346,13275.0,1184,27.600000000000122,COMPLETED
PSO,open_33,20,0,1.0,9.199999999999983,18.599999999999994,37.40000000000026,146131.51275708154,13850.0,1865,37.40000000000026,COMPLETED
GA,open_33,20,0,1.0,9.299999999999983,16.99999999999997,32.50000000000019,128720.12080358807,14175.0,1524,32.50000000000019,COMPLETED
ACO,open_33,20,0,1.0,7.699999999999989,15.099999999999962,29.200000000000145,116794.25696732337,13700.0,1503,29.200000000000145,COMPLETED
SA,open_33,20,0,1.0,9.499999999999982,17.799999999999983,35.30000000000023,142439.3496028902,16250.0,1877,35.30000000000023,COMPLETED
GWO,open_33,20,0,1.0,44.40000000000036,115.49999999999771,233.699999999991,931125.7984184544,23175.0,15990,233.699999999991,COMPLETED
MARL,open_33,20,0,1.0,11.599999999999975,28.300000000000132,163.699999999995,604528.3326642374,23875.0,9640,163.699999999995,COMPLETED
Random,open_33,20,1,1.0,18.29999999999999,38.50000000000028,159.39999999999523,584723.7948955479,23825.0,8615,159.39999999999523,COMPLETED
PF,open_33,20,1,1.0,6.499999999999993,17.49999999999998,30.30000000000016,120832.72366278991,13675.0,1502,30.30000000000016,COMPLETED
Consensus,open_33,20,1,1.0,6.5999999999999925,14.299999999999965,24.00000000000007,94003.68785630912,9400.0,956,24.00000000000007,COMPLETED
PSO,open_33,20,1,1.0,8.399999999999986,19.60000000000001,39.100000000000286,153344.5741381771,14050.0,1932,39.100000000000286,COMPLETED
GA,open_33,20,1,1.0,11.299999999999976,19.400000000000006,36.60000000000025,144715.6351120551,16000.0,1716,36.60000000000025,COMPLETED
ACO,open_33,20,1,1.0,6.699999999999992,13.499999999999968,27.200000000000117,108928.58906880952,12175.0,1387,27.200000000000117,COMPLETED
