T_initial,cooling_rate,perturb_radius,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,0.99,6.0,closed_33,20,1,1.0,11375.0,3619,299418.9807837573,80.4999999999997,0.4873156568318918
0.5,0.99,10.0,open_33,2,0,0.9885535900104059,16900.0,3570,242424.00000000003,600.500000000068,0.39613206601203077
0.5,0.99,10.0,open_33,2,1,0.991675338189386,17975.0,3592,242424.00000000003,599.7000000000678,0.38568149010530606
0.5,0.99,10.0,open_33,5,0,0.9947970863683663,21350.0,10415,606060.0,618.100000000072,0.3089774035466525
0.5,0.99,10.0,open_33,5,1,1.0,21600.0,5015,317791.71363937465,316.00000000000335,0.40278349506584
0.5,0.99,10.0,open_33,10,0,1.0,22275.0,5314,329326.8409006065,163.79999999999498,0.4285516392416213
0.5,0.99,10.0,open_33,10,1,1.0,21650.0,6284,382522.47637242917,191.89999999999338,0.4238655943444829
0.5,0.99,10.0,open_33,20,0,1.0,22825.0,5997,368029.9249823098,91.59999999999907,0.434490239840727
0.5,0.99,10.0,open_33,20,1,1.0,21300.0,5283,324320.14920960367,81.29999999999966,0.46087528570213254
0.5,0.99,10.0,partial_33,2,0,0.9132075471698113,9550.0,3378,242424.00000000003,643.5000000000778,0.3776823347677368
0.5,0.99,10.0,partial_33,2,1,0.5710691823899371,825.0,3473,242424.00000000003,662.100000000082,0.1488548718515422
0.5,0.99,10.0,partial_33,5,0,0.989937106918239,16475.0,9445,606060.0,644.1000000000779,0.3198880848999234
0.5,0.99,10.0,partial_33,5,1,0.9522012578616352,13750.0,8871,606060.0,675.0000000000849,0.32379709686719127
0.5,0.99,10.0,partial_33,10,0,0.9710691823899371,15350.0,18005,1212120.0,683.3000000000868,0.3072608634342229
0.5,0.99,10.0,partial_33,10,1,0.9962264150943396,18200.0,19456,1212120.0,650.2000000000793,0.288799481813355
0.5,0.99,10.0,partial_33,20,0,1.0,18750.0,7781,495043.72691244166,127.39999999999704,0.415294915094335
0.5,0.99,10.0,partial_33,20,1,1.0,18800.0,7744,496159.78159646224,128.89999999999696,0.4145942029167638
0.5,0.99,10.0,closed_33,2,0,0.24740484429065743,0.0,2540,242424.00000000003,718.6000000000948,-0.18105003623280302
0.5,0.99,10.0,closed_33,2,1,0.2768166089965398,725.0,2148,242424.00000000003,712.6000000000935,-0.16188251152569635
0.5,0.99,10.0,closed_33,5,0,0.2820069204152249,800.0,4093,606060.0,732.700000000098,-0.16755685891487657
0.5,0.99,10.0,closed_33,5,1,0.7508650519031141,3175.0,5534,606060.0,718.7000000000949,0.2623200063287682
0.5,0.99,10.0,closed_33,10,0,1.0,11950.0,6059,525076.0734023717,287.89999999999696,0.4154577480667412
0.5,0.99,10.0,closed_33,10,1,1.0,11800.0,6579,560027.116580059,306.2000000000011,0.41250869807920343
0.5,0.99,10.0,closed_33,20,0,1.0,12325.0,4783,397122.9343623044,107.09999999999819,0.45280042703196965
0.5,0.99,10.0,closed_33,20,1,1.0,12600.0,5492,469556.18794508,127.999999999997,0.43899727523700666
0.5,0.999,3.0,open_33,2,0,1.0,14975.0,2961,211358.0280426821,519.7000000000496,0.46058141384382034
0.5,0.999,3.0,open_33,2,1,1.0,17175.0,3345,229193.67041866656,563.4000000000595,0.41592762363166075
0.5,0.999,3.0,open_33,5,0,1.0,19075.0,3030,212163.3903964503,209.79999999999237,0.4834824897861808
0.5,0.999,3.0,open_33,5,1,1.0,19175.0,2745,193022.32763973298,189.7999999999935,0.4923509823979195
0.5,0.999,3.0,open_33,10,0,1.0,20725.0,3325,224320.761047889,110.99999999999797,0.4817410075050394
0.5,0.999,3.0,open_33,10,1,1.0,20825.0,3336,226696.1336258091,111.99999999999791,0.4800370480074616
0.5,0.999,3.0,open_33,20,0,1.0,21475.0,3375,223655.24099593144,55.50000000000052,0.4850055457219767
0.5,0.999,3.0,open_33,20,1,1.0,21825.0,3283,222380.03683907026,55.10000000000051,0.482152423847185
0.5,0.999,3.0,partial_33,2,0,0.6314465408805031,1775.0,3532,242424.00000000003,660.1000000000815,0.19754231589144258
0.5,0.999,3.0,partial_33,2,1,0.7937106918238994,425.0,3428,242424.00000000003,664.5000000000825,0.389488255774496
0.5,0.999,3.0,partial_33,5,0,0.7761006289308177,4000.0,9346,606060.0,666.1000000000829,0.2898575673387762
0.5,0.999,3.0,partial_33,5,1,0.8150943396226416,9100.0,9775,606060.0,650.2000000000793,0.25194246476758486
0.5,0.999,3.0,partial_33,10,0,1.0,19025.0,8248,528267.6444568152,276.6999999999944,0.37625222236173034
0.5,0.999,3.0,partial_33,10,1,1.0,17075.0,4335,297424.6394596982,153.89999999999554,0.453312240701486
0.5,0.999,3.0,partial_33,20,0,1.0,17975.0,4078,282629.6800062442,73.10000000000012,0.4607823661759107
0.5,0.999,3.0,partial_33,20,1,1.0,16625.0,3692,255162.75914776884,65.70000000000054,0.4870066955511845
0.5,0.999,3.0,closed_33,2,0,0.25432525951557095,0.0,1569,242424.00000000003,727.3000000000968,-0.1644198842295728
0.5,0.999,3.0,closed_33,2,1,0.458477508650519,950.0,2280,242424.00000000003,710.0000000000929,0.02554760183668206
0.5,0.999,3.0,closed_33,5,0,0.42560553633217996,1750.0,4399,606060.0,719.7000000000951,-0.03928303637459965
0.5,0.999,3.0,closed_33,5,1,0.8512110726643599,3050.0,5151,606060.0,716.2000000000943,0.3696011287524673
0.5,0.999,3.0,closed_33,10,0,1.0,12275.0,5713,565561.1274798294,317.30000000000365,0.4053227930915454
0.5,0.999,3.0,closed_33,10,1,0.9359861591695502,8900.0,10274,1212120.0,722.7000000000958,0.32177356303267557
0.5,0.999,3.0,closed_33,20,0,1.0,11025.0,3218,269071.0431786813,72.40000000000016,0.5007547635507079
0.5,0.999,3.0,closed_33,20,1,1.0,10325.0,2976,260133.92472805688,70.30000000000028,0.5189305722271169
