pheromone_weight,heuristic_weight,evaporation_rate,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,2.0,0.15,partial_33,2,1,0.979874213836478,8825.0,3196,242424.00000000003,648.0000000000788,0.4610146750524109
0.5,2.0,0.15,partial_33,5,0,1.0,12650.0,2604,201916.4581502038,210.19999999999234,0.5311008295056043
0.5,2.0,0.15,partial_33,5,1,0.9987421383647799,13250.0,8914,606060.0,676.5000000000853,0.37883415869165804
0.5,2.0,0.15,partial_33,10,0,0.9974842767295597,15075.0,17966,1212120.0,690.4000000000884,0.33817457515570726
0.5,2.0,0.15,partial_33,10,1,0.9937106918238994,13200.0,17936,1212120.0,683.0000000000867,0.362677164296505
0.5,2.0,0.15,partial_33,20,0,1.0,13775.0,2798,207898.20084318798,54.3000000000005,0.5460672619252883
0.5,2.0,0.15,partial_33,20,1,1.0,13150.0,2209,175362.75109780347,45.80000000000038,0.5704548674057854
0.5,2.0,0.15,closed_33,2,0,0.6401384083044983,75.0,2317,242424.00000000003,694.1000000000893,0.23544688159931623
0.5,2.0,0.15,closed_33,2,1,0.5155709342560554,2375.0,2624,242424.00000000003,683.2000000000868,0.052414013880303506
0.5,2.0,0.15,closed_33,5,0,0.9429065743944637,3225.0,5959,606060.0,704.1000000000915,0.45664548903274504
0.5,2.0,0.15,closed_33,5,1,0.9982698961937716,7075.0,6708,606060.0,706.4000000000921,0.4307007916547593
0.5,2.0,0.15,closed_33,10,0,0.9826989619377162,9775.0,9827,1212120.0,723.1000000000959,0.35170583741518
0.5,2.0,0.15,closed_33,10,1,0.9913494809688581,11000.0,12862,1212120.0,710.0000000000929,0.3313262726954951
0.5,2.0,0.15,closed_33,20,0,1.0,9425.0,2264,195930.4785061353,52.90000000000048,0.5536644276959654
0.5,2.0,0.15,closed_33,20,1,1.0,10800.0,2940,267259.19138085237,73.5000000000001,0.5091437062617871
0.5,2.0,0.3,open_33,2,0,1.0,12475.0,2178,176305.84098588245,447.3000000000332,0.5310203003757146
0.5,2.0,0.3,open_33,2,1,1.0,11750.0,2145,174135.0078566774,440.00000000003155,0.5423426373652147
0.5,2.0,0.3,open_33,5,0,1.0,17175.0,2560,196105.7957815755,198.99999999999298,0.5206774530561714
0.5,2.0,0.3,open_33,5,1,1.0,18025.0,2780,207110.6225635485,209.99999999999235,0.5026254977839446
0.5,2.0,0.3,open_33,10,0,1.0,19650.0,2637,194800.51499608275,98.29999999999869,0.5115446906862612
0.5,2.0,0.3,open_33,10,1,1.0,18550.0,2477,189664.66280990792,96.19999999999881,0.5296214504091823
0.5,2.0,0.3,open_33,20,0,1.0,19275.0,2618,196881.8899018634,50.80000000000045,0.5281355515548382
0.5,2.0,0.3,open_33,20,1,1.0,18150.0,2375,181490.47473853175,46.9000000000004,0.5489681272483987
0.5,2.0,0.3,partial_33,2,0,1.0,10550.0,2182,181608.7474851458,470.70000000003853,0.512660272331082
0.5,2.0,0.3,partial_33,2,1,0.979874213836478,8825.0,3196,242424.00000000003,648.0000000000788,0.4610146750524109
0.5,2.0,0.3,partial_33,5,0,1.0,12650.0,2604,201916.4581502038,210.19999999999234,0.5311008295056043
0.5,2.0,0.3,partial_33,5,1,0.9987421383647799,13250.0,8914,606060.0,676.5000000000853,0.37883415869165804
0.5,2.0,0.3,partial_33,10,0,0.9974842767295597,15075.0,17966,1212120.0,690.4000000000884,0.33817457515570726
0.5,2.0,0.3,partial_33,10,1,0.9937106918238994,13200.0,17936,1212120.0,683.0000000000867,0.362677164296505
0.5,2.0,0.3,partial_33,20,0,1.0,13775.0,2798,207898.20084318798,54.3000000000005,0.5460672619252883
0.5,2.0,0.3,partial_33,20,1,1.0,13150.0,2209,175362.75109780347,45.80000000000038,0.5704548674057854
0.5,2.0,0.3,closed_33,2,0,0.6401384083044983,75.0,2317,242424.00000000003,694.1000000000893,0.23544688159931623
0.5,2.0,0.3,closed_33,2,1,0.5155709342560554,2375.0,2624,242424.00000000003,683.2000000000868,0.052414013880303506
0.5,2.0,0.3,closed_33,5,0,0.9429065743944637,3225.0,5959,606060.0,704.1000000000915,0.45664548903274504
0.5,2.0,0.3,closed_33,5,1,0.9982698961937716,7075.0,6708,606060.0,706.4000000000921,0.4307007916547593
0.5,2.0,0.3,closed_33,10,0,0.9826989619377162,9775.0,9827,1212120.0,723.1000000000959,0.35170583741518
0.5,2.0,0.3,closed_33,10,1,0.9913494809688581,11000.0,12862,1212120.0,710.0000000000929,0.3313262726954951
0.5,2.0,0.3,closed_33,20,0,1.0,9425.0,2264,195930.4785061353,52.90000000000048,0.5536644276959654
0.5,2.0,0.3,closed_33,20,1,1.0,10800.0,2940,267259.19138085237,73.5000000000001,0.5091437062617871
0.5,4.0,0.05,open_33,2,0,0.9729448491155047,12925.0,3490,242424.00000000003,623.7000000000733,0.43049585432625703
0.5,4.0,0.05,open_33,2,1,1.0,8550.0,3380,236975.45846053638,602.5000000000684,0.5184514625801877
0.5,4.0,0.05,open_33,5,0,1.0,17400.0,2451,185382.89763060457,186.79999999999367,0.523039255459415
0.5,4.0,0.05,open_33,5,1,1.0,15375.0,2220,170004.08818186284,170.4999999999946,0.5581266822266688
0.5,4.0,0.05,open_33,10,0,1.0,17525.0,2332,175971.34575465135,88.89999999999922,0.5477448600810259
0.5,4.0,0.05,open_33,10,1,1.0,19225.0,2646,193068.4860816046,97.09999999999876,0.516858132041689
0.5,4.0,0.05,open_33,20,0,1.0,18025.0,2279,170242.67254629591,43.200000000000344,0.5537598017274875
0.5,4.0,0.05,open_33,20,1,1.0,17100.0,2334,172878.05912073934,43.900000000000354,0.5636679696077732
0.5,4.0,0.05,partial_33,2,0,0.989937106918239,1650.0,3334,242424.00000000003,646.9000000000785,0.5778789215334658
0.5,4.0,0.05,partial_33,2,1,0.9962264150943396,4375.0,2670,242424.00000000003,680.4000000000862,0.5543750840209426
0.5,4.0,0.05,partial_33,5,0,0.9811320754716981,11150.0,8746,606060.0,677.2000000000854,0.3929500944342549
0.5,4.0,0.05,partial_33,5,1,0.9937106918238994,10700.0,8804,606060.0,674.2000000000847,0.4124597527542765
0.5,4.0,0.05,partial_33,10,0,0.9962264150943396,11050.0,16642,1212120.0,699.6000000000905,0.39861805974926934
0.5,4.0,0.05,partial_33,10,1,0.9471698113207547,9500.0,18094,1212120.0,680.1000000000861,0.37131513292686036
0.5,4.0,0.05,partial_33,20,0,1.0,13075.0,2486,190191.39290917898,49.10000000000043,0.5640005136077451
