elite_fraction,p_crossover,p_mutation,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.2,0.4,0.05,closed_33,5,1,0.5899653979238755,4250.0,5093,606060.0,721.0000000000954,0.07611157029295804
0.2,0.4,0.05,closed_33,10,0,0.7750865051903114,6025.0,10467,1212120.0,714.700000000094,0.21786888583498756
0.2,0.4,0.05,closed_33,10,1,0.9394463667820069,8725.0,11800,1212120.0,715.100000000094,0.32705781774022114
0.2,0.4,0.05,closed_33,20,0,1.0,12275.0,4758,375392.4257600163,99.9999999999986,0.45528480681460143
0.2,0.4,0.05,closed_33,20,1,1.0,12250.0,5688,445265.8122231164,119.79999999999747,0.44681744936115375
0.2,0.4,0.15,open_33,2,0,1.0,16550.0,2695,197852.2348966105,491.50000000004326,0.45430986999914996
0.2,0.4,0.15,open_33,2,1,1.0,15700.0,2764,198811.85155855902,493.70000000004376,0.4628913408352493
0.2,0.4,0.15,open_33,5,0,1.0,21450.0,3864,251931.71880058013,248.19999999999018,0.4318615152223593
0.2,0.4,0.15,open_33,5,1,1.0,22200.0,4173,274031.78632449335,272.1999999999934,0.4136328321209538
0.2,0.4,0.15,open_33,10,0,1.0,22950.0,5149,323932.7504599127,159.9999999999952,0.422006435187975
0.2,0.4,0.15,open_33,10,1,1.0,22700.0,5442,343714.09007229423,169.69999999999465,0.42061173115971134
0.2,0.4,0.15,open_33,20,0,1.0,23300.0,7995,478203.4598471741,118.69999999999753,0.41275079521528524
0.2,0.4,0.15,open_33,20,1,1.0,23575.0,9335,543262.5333337942,134.39999999999665,0.40125088724276636
0.2,0.4,0.15,partial_33,2,0,0.5333333333333333,2875.0,3544,242424.00000000003,658.2000000000811,0.07754911408669776
0.2,0.4,0.15,partial_33,2,1,0.24276729559748428,0.0,3520,242424.00000000003,671.5000000000841,-0.18608328943408645
0.2,0.4,0.15,partial_33,5,0,0.9773584905660377,15000.0,8857,606060.0,669.2000000000836,0.3306945091828426
0.2,0.4,0.15,partial_33,5,1,1.0,18300.0,5359,373197.338009149,389.30000000002,0.3735834115193307
0.2,0.4,0.15,partial_33,10,0,0.9987421383647799,18200.0,17489,1212120.0,678.8000000000858,0.2926092092056969
0.2,0.4,0.15,partial_33,10,1,1.0,17675.0,4183,289171.15319463867,148.79999999999583,0.44665875784108766
0.2,0.4,0.15,partial_33,20,0,1.0,19250.0,6344,408097.6469492614,104.79999999999832,0.41852616015936633
0.2,0.4,0.15,partial_33,20,1,1.0,18850.0,5817,378847.77074588137,97.89999999999871,0.42896944293250394
0.2,0.4,0.15,closed_33,2,0,0.6885813148788927,1600.0,2977,242424.00000000003,671.7000000000842,0.24629665513264135
