inertia,cognitive,social,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,8.0,0.25,closed_33,2,0,0.22145328719723184,0.0,538,242424.00000000003,731.3000000000977,-0.16533349958955496
0.5,8.0,0.25,closed_33,2,1,0.29411764705882354,75.0,936,242424.00000000003,728.4000000000971,-0.10577177507885757
0.5,8.0,0.25,closed_33,5,0,0.4688581314878893,1225.0,2640,606060.0,732.600000000098,0.026909707982990444
0.5,8.0,0.25,closed_33,5,1,0.7577854671280276,2800.0,2235,606060.0,731.1000000000977,0.30436778395255903
0.5,8.0,0.25,closed_33,10,0,1.0,9050.0,2073,264296.42135776253,144.79999999999606,0.5460246511202735
0.5,8.0,0.25,closed_33,10,1,0.7975778546712803,6400.0,4483,1212120.0,729.2000000000972,0.2482347388793705
0.5,8.0,0.25,closed_33,20,0,0.9446366782006921,7950.0,6217,2424240.0,733.4000000000982,0.3593603513429332
0.5,8.0,0.25,closed_33,20,1,0.9602076124567474,7550.0,7207,2424240.0,733.1000000000981,0.38046642021516497
0.5,8.0,0.5,open_33,2,0,1.0,8825.0,3444,217112.64601685913,534.400000000053,0.525887562476891
0.5,8.0,0.5,open_33,2,1,0.9531737773152965,9000.0,4066,242424.00000000003,596.5000000000671,0.45150496928264205
0.5,8.0,0.5,open_33,5,0,1.0,16300.0,2467,171533.46857729228,169.09999999999468,0.5396813514235368
0.5,8.0,0.5,open_33,5,1,1.0,15875.0,3110,205635.847958697,203.6999999999927,0.523577045368095
0.5,8.0,0.5,open_33,10,0,1.0,17200.0,2904,191430.81817153213,95.19999999999887,0.537004026741038
0.5,8.0,0.5,open_33,10,1,1.0,16500.0,2254,160414.86314290343,79.59999999999975,0.5645219024564497
0.5,8.0,0.5,open_33,20,0,1.0,19425.0,3110,200521.86613327404,49.80000000000044,0.5163103741951106
0.5,8.0,0.5,open_33,20,1,1.0,19650.0,3564,234801.9838925558,57.90000000000055,0.5043530014505774
0.5,8.0,0.5,partial_33,2,0,0.5987421383647799,2250.0,2008,242424.00000000003,693.8000000000892,0.17782335247470601
0.5,8.0,0.5,partial_33,2,1,0.38742138364779877,275.0,822,242424.00000000003,725.4000000000964,0.020595907311552697
0.5,8.0,0.5,partial_33,5,0,0.9471698113207547,5575.0,5492,606060.0,724.7000000000962,0.45474736183076436
0.5,8.0,0.5,partial_33,5,1,1.0,10575.0,2429,229865.44529510534,237.2999999999908,0.5595691327095875
0.5,8.0,0.5,partial_33,10,0,1.0,13150.0,3034,265168.8295096664,136.39999999999654,0.5321979204504526
0.5,8.0,0.5,partial_33,10,1,1.0,9000.0,2043,191436.30447823554,98.59999999999867,0.6253761492680084
0.5,8.0,0.5,partial_33,20,0,1.0,13650.0,2825,238550.9362064344,61.2000000000006,0.5456325678888551
0.5,8.0,0.5,partial_33,20,1,1.0,11975.0,2223,191507.0814490323,49.000000000000426,0.5868604862689722
0.5,8.0,0.5,closed_33,2,0,0.3685121107266436,775.0,1531,242424.00000000003,720.0000000000952,-0.05538239085884403
0.5,8.0,0.5,closed_33,2,1,0.356401384083045,600.0,808,242424.00000000003,728.8000000000972,-0.03955306220411356
0.5,8.0,0.5,closed_33,5,0,0.3373702422145329,1400.0,2426,606060.0,731.1000000000977,-0.1138202208788596
0.5,8.0,0.5,closed_33,5,1,0.5207612456747405,1925.0,2285,606060.0,731.5000000000978,0.0712701968099009
0.5,8.0,0.5,closed_33,10,0,0.7301038062283737,4425.0,3721,1212120.0,733.5000000000982,0.2243484166536515
0.5,8.0,0.5,closed_33,10,1,0.9584775086505191,6175.0,3930,1212120.0,732.300000000098,0.42289749259274123
0.5,8.0,0.5,closed_33,20,0,1.0,9700.0,1811,193892.9436454447,52.00000000000047,0.5596457880834719
0.5,8.0,0.5,closed_33,20,1,1.0,8800.0,1673,216154.62005172763,59.70000000000058,0.5814542424360731
1.0,3.0,0.0,open_33,2,0,0.9157127991675338,9175.0,3812,242424.00000000003,588.5000000000653,0.41296618120924644
1.0,3.0,0.0,open_33,2,1,0.9011446409989594,10700.0,3752,242424.00000000003,587.8000000000651,0.379347494892602
1.0,3.0,0.0,open_33,5,0,0.951092611862643,15625.0,10849,606060.0,586.8000000000649,0.33484928623703514
1.0,3.0,0.0,open_33,5,1,0.9750260145681582,15900.0,10728,606060.0,587.8000000000651,0.3561361141874636
1.0,3.0,0.0,open_33,10,0,1.0,19300.0,4352,277759.19794454006,134.89999999999662,0.4801644979041695
1.0,3.0,0.0,open_33,10,1,1.0,18975.0,4941,306589.20999447885,148.79999999999583,0.4753719106761965
1.0,3.0,0.0,open_33,20,0,1.0,19025.0,3254,217785.78697100095,53.00000000000048,0.5178571239752885
1.0,3.0,0.0,open_33,20,1,1.0,18650.0,3712,244516.9396212548,59.500000000000576,0.5142432796732866
1.0,3.0,0.0,partial_33,2,0,0.45534591194968554,1700.0,1029,242424.00000000003,711.9000000000933,0.06331441868736876
1.0,3.0,0.0,partial_33,2,1,0.6742138364779874,4625.0,3484,242424.00000000003,601.9000000000683,0.19995807127882595
1.0,3.0,0.0,partial_33,5,0,0.9924528301886792,10250.0,7605,606060.0,680.0000000000861,0.42149011797884983
1.0,3.0,0.0,partial_33,5,1,1.0,11050.0,3009,228217.3504839962,226.9999999999914,0.5415128517958834
1.0,3.0,0.0,partial_33,10,0,0.9974842767295597,14000.0,11772,1212120.0,714.4000000000939,0.3606526231312063
1.0,3.0,0.0,partial_33,10,1,1.0,13725.0,3195,258326.98177547334,130.1999999999969,0.5218206286572308
1.0,3.0,0.0,partial_33,20,0,1.0,15650.0,2535,208376.82760944264,52.500000000000476,0.5229794081330876
1.0,3.0,0.0,partial_33,20,1,1.0,14575.0,2426,194199.8484987202,48.60000000000042,0.5424742416605638
1.0,3.0,0.0,closed_33,2,0,0.6418685121107266,0.0,1167,242424.00000000003,692.900000000089,0.26979077767928605
