a_initial,a_final,decay_steps,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
2.0,1.0,500,closed_33,10,0,0.38235294117647056,3000.0,3501,1212120.0,733.6000000000982,-0.10656223653077676
2.0,1.0,500,closed_33,10,1,0.24740484429065743,1325.0,4095,1212120.0,733.0000000000981,-0.2144255512863151
2.0,1.0,500,closed_33,20,0,0.7854671280276817,8100.0,9910,2424240.0,731.5000000000978,0.18599823777067606
2.0,1.0,500,closed_33,20,1,0.5934256055363322,4950.0,8447,2424240.0,732.1000000000979,0.05791947964356056
2.0,1.0,1500,open_33,2,0,1.0,19150.0,3157,232322.96166678378,602.9000000000685,0.392457899857552
2.0,1.0,1500,open_33,2,1,1.0,18225.0,2946,221075.1253237728,567.8000000000605,0.4144911293881507
2.0,1.0,1500,open_33,5,0,1.0,22025.0,4565,302437.1541799725,307.60000000000144,0.4050646109315065
2.0,1.0,1500,open_33,5,1,1.0,22075.0,4775,322431.582774552,330.50000000000665,0.39776487133132404
2.0,1.0,1500,open_33,10,0,1.0,22900.0,7168,448091.45165790175,225.29999999999148,0.3961158656789444
2.0,1.0,1500,open_33,10,1,1.0,22600.0,7436,465202.44014181965,235.19999999999092,0.39669097567039474
2.0,1.0,1500,open_33,20,0,1.0,22900.0,14577,844296.4386382261,211.29999999999228,0.38229633188398116
2.0,1.0,1500,open_33,20,1,1.0,23150.0,12341,715360.8183770287,178.79999999999413,0.3899759264743729
2.0,1.0,1500,partial_33,2,0,0.7949685534591195,10875.0,2993,242424.00000000003,653.50000000008,0.2386766138943108
2.0,1.0,1500,partial_33,2,1,0.9383647798742139,12325.0,2897,242424.00000000003,650.8000000000794,0.36931548456561536
2.0,1.0,1500,partial_33,5,0,0.989937106918239,16925.0,6709,606060.0,686.6000000000876,0.3215177626530097
2.0,1.0,1500,partial_33,5,1,0.9710691823899371,16275.0,6648,606060.0,687.7000000000878,0.31217729859239296
2.0,1.0,1500,partial_33,10,0,0.5119496855345912,7600.0,11721,1212120.0,731.0000000000977,-0.03714412790472557
2.0,1.0,1500,partial_33,10,1,0.9710691823899371,17675.0,14401,1212120.0,666.2000000000829,0.2750962408261062
2.0,1.0,1500,partial_33,20,0,1.0,19475.0,13131,986257.0159870246,258.89999999999037,0.3643994352388435
2.0,1.0,1500,partial_33,20,1,0.9622641509433962,18300.0,26660,2424240.0,671.5000000000841,0.2499615685240287
2.0,1.0,1500,closed_33,2,0,0.1522491349480969,0.0,1340,242424.00000000003,713.0000000000936,-0.2737079145383644
2.0,1.0,1500,closed_33,2,1,0.4273356401384083,4200.0,1937,242424.00000000003,690.4000000000884,-0.07037746471137477
2.0,1.0,1500,closed_33,5,0,0.8373702422145328,9025.0,4862,606060.0,699.3000000000904,0.23271604938271598
2.0,1.0,1500,closed_33,5,1,0.3546712802768166,2225.0,1243,606060.0,728.6000000000971,-0.09349456010331766
2.0,1.0,1500,closed_33,10,0,0.7162629757785467,8175.0,7600,1212120.0,725.0000000000963,0.11759322665535235
2.0,1.0,1500,closed_33,10,1,0.25432525951557095,1275.0,2970,1212120.0,733.1000000000981,-0.20244155372239664
2.0,1.0,1500,closed_33,20,0,0.671280276816609,7100.0,9620,2424240.0,730.2000000000975,0.09106168352515223
2.0,1.0,1500,closed_33,20,1,1.0,13475.0,5575,934177.519135531,267.2999999999923,0.39276212329530114
2.0,1.0,3000,open_33,2,0,1.0,18100.0,2895,221132.52267613995,575.1000000000622,0.4169937694994117
2.0,1.0,3000,open_33,2,1,1.0,18850.0,2996,225772.64901889302,582.900000000064,0.4029554086701963
2.0,1.0,3000,open_33,5,0,1.0,22250.0,4808,322023.4358610258,328.4000000000062,0.3953894154015113
2.0,1.0,3000,open_33,5,1,1.0,22400.0,4346,295801.9648420324,302.2000000000002,0.40411630148219113
2.0,1.0,3000,open_33,10,0,1.0,22950.0,6466,410360.6642712478,207.1999999999925,0.403339982623917
2.0,1.0,3000,open_33,10,1,1.0,23250.0,7037,447270.5489480281,226.19999999999143,0.3924241372666453
2.0,1.0,3000,open_33,20,0,1.0,23250.0,11992,707054.8183380347,177.2999999999942,0.3898060864100751
2.0,1.0,3000,open_33,20,1,1.0,23500.0,13942,812539.7872544848,204.0999999999927,0.3774868920737566
2.0,1.0,3000,partial_33,2,0,0.8867924528301887,12925.0,2988,242424.00000000003,652.9000000000799,0.30452418054214425
2.0,1.0,3000,partial_33,2,1,0.6628930817610063,9675.0,3026,242424.00000000003,655.5000000000805,0.11690850912300751
2.0,1.0,3000,partial_33,5,0,0.9911949685534591,16925.0,5795,606060.0,684.6000000000871,0.32718950501752986
2.0,1.0,3000,partial_33,5,1,0.6880503144654088,8450.0,8021,606060.0,675.0000000000849,0.13521136127406932
2.0,1.0,3000,partial_33,10,0,0.9823899371069182,17650.0,17238,1212120.0,668.2000000000834,0.2845333396625481
2.0,1.0,3000,partial_33,10,1,0.9924528301886792,18950.0,16709,1212120.0,667.2000000000832,0.27549791015349334
2.0,1.0,3000,partial_33,20,0,0.9974842767295597,18875.0,13948,2424240.0,719.200000000095,0.28427283278558046
2.0,1.0,3000,partial_33,20,1,0.8264150943396227,14225.0,22576,2424240.0,720.9000000000954,0.17573729119671014
2.0,1.0,3000,closed_33,2,0,0.13321799307958476,0.0,1662,242424.00000000003,703.5000000000914,-0.29794295510264
2.0,1.0,3000,closed_33,2,1,0.4757785467128028,4850.0,2733,242424.00000000003,669.8000000000837,-0.04193107755200534
2.0,1.0,3000,closed_33,5,0,0.42214532871972316,4700.0,3739,606060.0,706.8000000000922,-0.10149886344144468
2.0,1.0,3000,closed_33,5,1,0.48788927335640137,3800.0,5784,606060.0,720.0000000000952,-0.02150131711496492
2.0,1.0,3000,closed_33,10,0,0.44809688581314877,3225.0,7593,1212120.0,727.0000000000967,-0.05340700792418293
2.0,1.0,3000,closed_33,10,1,0.2508650519031142,1200.0,3150,1212120.0,733.0000000000981,-0.20529106641019942
2.0,1.0,3000,closed_33,20,0,1.0,13525.0,5901,959583.4977200069,274.59999999999394,0.38879230108002366
2.0,1.0,3000,closed_33,20,1,0.6314878892733564,4950.0,8267,2424240.0,732.9000000000981,0.09696063555080939
3.0,0.0,500,open_33,2,0,0.29552549427679503,3425.0,3847,242424.00000000003,627.3000000000741,-0.1710623541049364
3.0,0.0,500,open_33,2,1,0.28720083246618106,3000.0,4020,242424.00000000003,636.5000000000762,-0.17543084710926637
3.0,0.0,500,open_33,5,0,0.2726326742976067,3750.0,11535,606060.0,640.100000000077,-0.2119752819728483
3.0,0.0,500,open_33,5,1,0.33298647242455776,5950.0,11037,606060.0,633.7000000000755,-0.1773026421646914
3.0,0.0,500,open_33,10,0,0.4724245577523413,7675.0,23771,1212120.0,641.7000000000774,-0.06223526476512434
3.0,0.0,500,open_33,10,1,0.4214360041623309,6525.0,22681,1212120.0,633.6000000000755,-0.09922313783926376
3.0,0.0,500,open_33,20,0,0.578563995837669,9375.0,45887,2424240.0,645.1000000000781,0.020645493938619947
3.0,0.0,500,open_33,20,1,0.5879292403746098,9650.0,47662,2424240.0,630.5000000000748,0.02649994495646954
3.0,0.0,500,partial_33,2,0,0.8113207547169812,12725.0,3222,242424.00000000003,653.9000000000801,0.22483962833392698
3.0,0.0,500,partial_33,2,1,0.740880503144654,9800.0,3275,242424.00000000003,652.6000000000798,0.19424134406291912
3.0,0.0,500,partial_33,5,0,0.9559748427672956,16750.0,8072,606060.0,666.0000000000829,0.2845154270349103
3.0,0.0,500,partial_33,5,1,0.36981132075471695,2025.0,4837,606060.0,731.9000000000979,-0.0880095297748262
3.0,0.0,500,partial_33,10,0,0.7723270440251573,11775.0,13661,1212120.0,687.6000000000878,0.1630504282824278
3.0,0.0,500,partial_33,10,1,0.49433962264150944,5475.0,9074,1212120.0,729.9000000000974,-0.020292544398405638
3.0,0.0,500,partial_33,20,0,0.7094339622641509,11000.0,17723,2424240.0,727.0000000000967,0.10820425640604117
3.0,0.0,500,partial_33,20,1,0.9735849056603774,18100.0,29240,2424240.0,677.5000000000855,0.26366930373093533
3.0,0.0,500,closed_33,2,0,0.05536332179930796,0.0,1136,242424.00000000003,733.1000000000981,-0.38086194456294464
3.0,0.0,500,closed_33,2,1,0.4117647058823529,4075.0,2717,242424.00000000003,678.6000000000857,-0.09311937813843565
3.0,0.0,500,closed_33,5,0,0.4532871972318339,4450.0,3027,606060.0,724.3000000000961,-0.05964694917606009
