policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Spiral,open_33,10,2,0.963579604578564,307.20000000000135,540.2000000000543,inf,1212120.0,17000.0,19467,665.4000000000827,ALL_DEPLETED
VoronoiPartition,open_33,10,0,1.0,25.000000000000085,57.60000000000055,131.7999999999968,255221.6794012515,13725.0,3561,131.7999999999968,COMPLETED
VoronoiPartition,open_33,10,1,1.0,21.20000000000003,49.10000000000043,98.99999999999865,193469.74200976896,13450.0,2520,98.99999999999865,COMPLETED
VoronoiPartition,open_33,10,2,1.0,19.60000000000001,47.70000000000041,98.99999999999865,193631.10775815276,14425.0,2574,98.99999999999865,COMPLETED
GridDecomposition,open_33,10,0,1.0,22.100000000000044,57.00000000000054,101.39999999999851,197809.49974969216,15675.0,2660,101.39999999999851,COMPLETED
GridDecomposition,open_33,10,1,1.0,24.100000000000072,59.90000000000058,127.19999999999705,246890.31464560004,13600.0,3452,127.19999999999705,COMPLETED
GridDecomposition,open_33,10,2,1.0,23.10000000000006,79.19999999999978,126.49999999999709,246247.79417504277,14500.0,3433,126.49999999999709,COMPLETED
STC,open_33,10,0,1.0,25.000000000000085,50.60000000000045,71.8000000000002,143739.7439431823,10075.0,2148,71.8000000000002,COMPLETED
STC,open_33,10,1,1.0,27.900000000000126,59.400000000000574,78.89999999999979,157919.59489777405,7725.0,2464,78.89999999999979,COMPLETED
STC,open_33,10,2,1.0,31.900000000000183,67.50000000000044,96.99999999999876,194227.19615470082,9900.0,3221,96.99999999999876,COMPLETED
Random,open_33,20,0,1.0,16.09999999999996,37.10000000000026,151.49999999999568,557595.4467829391,23625.0,6603,151.49999999999568,COMPLETED
Random,open_33,20,1,1.0,19.1,39.100000000000286,275.6999999999942,1014241.0409780904,24000.0,12661,275.6999999999942,COMPLETED
Random,open_33,20,2,1.0,15.499999999999961,34.70000000000022,150.69999999999573,552696.7449808428,23650.0,6590,150.69999999999573,COMPLETED
Boustrophedon,open_33,20,0,1.0,13.199999999999969,69.20000000000034,139.19999999999638,530035.5767068407,22625.0,8462,139.19999999999638,COMPLETED
Boustrophedon,open_33,20,1,1.0,11.899999999999974,45.10000000000037,121.19999999999739,463994.98483675066,21675.0,7285,121.19999999999739,COMPLETED
Boustrophedon,open_33,20,2,1.0,27.800000000000125,78.7999999999998,144.1999999999961,548993.5361845433,23350.0,8770,144.1999999999961,COMPLETED
Spiral,open_33,20,0,1.0,27.600000000000122,166.19999999999484,382.80000000001854,1427110.520364691,23525.0,23737,382.80000000001854,COMPLETED
Spiral,open_33,20,1,1.0,25.000000000000085,78.6999999999998,491.2000000000432,1846107.2945084707,23900.0,31542,491.2000000000432,COMPLETED
Spiral,open_33,20,2,1.0,30.90000000000017,93.29999999999897,565.9000000000601,2132598.196913029,23850.0,36853,565.9000000000601,COMPLETED
VoronoiPartition,open_33,20,0,1.0,9.599999999999982,21.20000000000003,49.10000000000043,190680.2056131768,16950.0,2543,49.10000000000043,COMPLETED
VoronoiPartition,open_33,20,1,1.0,8.499999999999986,21.70000000000004,55.300000000000516,214099.10430499678,16975.0,2866,55.300000000000516,COMPLETED
VoronoiPartition,open_33,20,2,1.0,9.699999999999982,22.900000000000055,52.10000000000047,203387.53205849882,16075.0,2724,52.10000000000047,COMPLETED
GridDecomposition,open_33,20,0,1.0,8.799999999999985,21.10000000000003,50.70000000000045,197572.4902888122,18525.0,2687,50.70000000000045,COMPLETED
GridDecomposition,open_33,20,1,1.0,9.499999999999982,20.30000000000002,56.80000000000054,222107.1068748464,18275.0,3115,56.80000000000054,COMPLETED
GridDecomposition,open_33,20,2,1.0,9.89999999999998,20.600000000000023,50.20000000000044,196404.61949697277,17775.0,2744,50.20000000000044,COMPLETED
STC,open_33,20,0,1.0,9.499999999999982,22.300000000000047,38.10000000000027,151015.977269019,12775.0,2262,38.10000000000027,COMPLETED
STC,open_33,20,1,1.0,8.299999999999986,18.599999999999994,30.30000000000016,119908.3849868211,10250.0,1628,30.30000000000016,COMPLETED
STC,open_33,20,2,1.0,7.699999999999989,20.100000000000016,38.10000000000027,151677.2966055856,14875.0,2285,38.10000000000027,COMPLETED
Random,partial_33,2,0,0.8842767295597485,239.69999999999067,520.0000000000497,inf,242424.00000000003,5900.0,1884,675.500000000085,ALL_DEPLETED
Random,partial_33,2,1,0.7949685534591195,360.6000000000135,inf,inf,242424.00000000003,7075.0,1965,674.9000000000849,ALL_DEPLETED
Random,partial_33,2,2,0.7937106918238994,320.80000000000445,inf,inf,242424.00000000003,7400.0,1985,673.7000000000846,ALL_DEPLETED
Boustrophedon,partial_33,2,0,0.3270440251572327,inf,inf,inf,242424.00000000003,1350.0,3655,663.5000000000823,ALL_DEPLETED
Boustrophedon,partial_33,2,1,0.34591194968553457,inf,inf,inf,242424.00000000003,750.0,3520,674.4000000000848,ALL_DEPLETED
Boustrophedon,partial_33,2,2,0.33081761006289306,inf,inf,inf,242424.00000000003,1075.0,3589,674.4000000000848,ALL_DEPLETED
Spiral,partial_33,2,0,0.17484276729559747,inf,inf,inf,242424.00000000003,0.0,3925,665.2000000000827,ALL_DEPLETED
Spiral,partial_33,2,1,0.2893081761006289,inf,inf,inf,242424.00000000003,0.0,3878,665.0000000000827,ALL_DEPLETED
Spiral,partial_33,2,2,0.21257861635220127,inf,inf,inf,242424.00000000003,650.0,3651,682.8000000000867,ALL_DEPLETED
VoronoiPartition,partial_33,2,0,0.9421383647798742,141.99999999999622,285.59999999999644,inf,242424.00000000003,2275.0,3297,649.4000000000791,ALL_DEPLETED
VoronoiPartition,partial_33,2,1,0.5987421383647799,274.99999999999403,inf,inf,242424.00000000003,750.0,3481,654.6000000000803,ALL_DEPLETED
VoronoiPartition,partial_33,2,2,0.4716981132075472,inf,inf,inf,242424.00000000003,1350.0,3429,671.8000000000842,ALL_DEPLETED
GridDecomposition,partial_33,2,0,0.9811320754716981,294.5999999999985,428.700000000029,inf,242424.00000000003,750.0,3296,659.6000000000814,ALL_DEPLETED
