policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
GA,open_33,10,1,1.0,19.500000000000007,41.900000000000325,113.09999999999785,225383.15669763112,20775.0,3300,113.09999999999785,COMPLETED
GA,open_33,10,2,1.0,21.600000000000037,44.700000000000365,126.39999999999709,253124.26693374803,21875.0,3843,126.39999999999709,COMPLETED
ACO,open_33,10,0,1.0,17.59999999999998,40.400000000000304,88.89999999999922,175971.34575465135,17525.0,2332,88.89999999999922,COMPLETED
ACO,open_33,10,1,1.0,18.499999999999993,39.40000000000029,97.09999999999876,193068.4860816046,19225.0,2646,97.09999999999876,COMPLETED
ACO,open_33,10,2,1.0,19.400000000000006,46.40000000000039,103.19999999999841,204305.35534319188,18125.0,2823,103.19999999999841,COMPLETED
SA,open_33,10,0,1.0,21.20000000000003,42.500000000000334,110.99999999999797,224320.761047889,20725.0,3325,110.99999999999797,COMPLETED
SA,open_33,10,1,1.0,18.599999999999994,42.40000000000033,111.99999999999791,226696.1336258091,20825.0,3336,111.99999999999791,COMPLETED
SA,open_33,10,2,1.0,19.300000000000004,37.50000000000026,113.29999999999784,229284.3082635349,21400.0,3349,113.29999999999784,COMPLETED
GWO,open_33,10,0,1.0,53.800000000000495,123.19999999999727,235.89999999999088,460852.8780586305,23525.0,7155,235.89999999999088,COMPLETED
GWO,open_33,10,1,1.0,54.600000000000506,97.29999999999875,200.79999999999288,392199.8622420761,23000.0,5966,200.79999999999288,COMPLETED
GWO,open_33,10,2,1.0,53.200000000000486,98.29999999999869,214.09999999999212,414176.592558729,22850.0,6239,214.09999999999212,COMPLETED
Random,open_33,20,0,1.0,16.09999999999996,37.10000000000026,151.49999999999568,557595.4467829391,23625.0,6603,151.49999999999568,COMPLETED
Random,open_33,20,1,1.0,19.1,39.100000000000286,275.6999999999942,1014241.0409780904,24000.0,12661,275.6999999999942,COMPLETED
Random,open_33,20,2,1.0,15.499999999999961,34.70000000000022,150.69999999999573,552696.7449808428,23650.0,6590,150.69999999999573,COMPLETED
PSO,open_33,20,0,1.0,9.299999999999983,25.30000000000009,70.90000000000025,290004.3652955834,19175.0,4704,70.90000000000025,COMPLETED
PSO,open_33,20,1,1.0,9.399999999999983,21.80000000000004,55.300000000000516,225724.4073606059,18975.0,3401,55.300000000000516,COMPLETED
PSO,open_33,20,2,1.0,9.99999999999998,23.20000000000006,78.19999999999983,320736.1525913803,20175.0,5290,78.19999999999983,COMPLETED
GA,open_33,20,0,1.0,10.19999999999998,23.30000000000006,57.400000000000546,227363.11560369562,21600.0,3381,57.400000000000546,COMPLETED
GA,open_33,20,1,1.0,9.299999999999983,23.000000000000057,76.39999999999993,304289.85027711093,22725.0,4819,76.39999999999993,COMPLETED
GA,open_33,20,2,1.0,10.09999999999998,24.70000000000008,63.90000000000064,254111.48546886165,21650.0,3870,63.90000000000064,COMPLETED
ACO,open_33,20,0,1.0,8.899999999999984,18.599999999999994,43.200000000000344,170242.67254629591,18025.0,2279,43.200000000000344,COMPLETED
